"Age","Sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"7","Females","255399","255117","257186","257132","260177","264807","270292","269411","269760","272571","275749","273164","275776","275863","277236","273526","268393","261137"
"7","Total","524929","525094","529430","529267","536730","544564","557571","554779","555487","561735","567808","564994","569486","568782","570307","563484","553502","537809"
"8","Males","276926","271567","271960","274460","275112","278803","282488","290042","287562","286656","289936","293038","292144","293483","292714","292572","289604","285251"
"8","Females","262711","257147","256652","259097","259534","262072","267348","272701","271143","270536","273229","276683","273641","275646","275662","276877","273114","268440"
"8","Total","539637","528714","528612","533557","534646","540875","549836","562743","558705","557192","563165","569721","565785","569129","568376","569449","562718","553691"
"9","Males","288501","278853","273769","274212","277046","277410","281966","285047","292548","289425","287599","290885","293604","292026","293478","292308","292160","289719"
"9","Females","274159","264414","258991","258543","261330","261546","265015","269448","274644","272627","271383","274304","277238","273581","275358","275426","276713","273327"
"9","Total","562660","543267","532760","532755","538376","538956","546981","554495","567192","562052","558982","565189","570842","565607","568836","567734","568873","563046"
"10","Males","291170","290204","280940","276572","276727","279129","280671","285051","287074","294729","290934","288628","291367","293605","291809","293118","292094","292417"
"10","Females","275204","275716","266114","261384","260691","263197","264459","267642","271122","276367","273859","272395","274615","277324","273389","275233","275230","276854"
"10","Total","566374","565920","547054","537956","537418","542326","545130","552693","558196","571096","564793","561023","565982","570929","565198","568351","567324","569271"
"11","Males","293330","292323","292147","283426","279200","278806","282171","283706","287660","288823","296458","291961","289073","291357","293508","291479","292925","292452"
"11","Females","278439","276361","277352","268196","263731","262371","265753","267301","269801","272376","277727","274898","272872","274698","277175","273280","275158","275360"
"11","Total","571769","568684","569499","551622","542931","541177","547924","551007","557461","561199","574185","566859","561945","566055","570683","564759","568083","567812"
"12","Males","288266","294399","293603","294367","286021","281462","281692","285188","286343","289857","290341","297654","292448","289200","291390","293283","291228","293239"
"12","Females","274015","279464","277577","279228","270519","265673","264971","268183","269437","271634","273613","278789","275256","273046","274631","276949","273250","275337"
"12","Total","562281","573863","571180","573595","556540","547135","546663","553371","555780","561491","563954","576443","567704","562246","566021","570232","564478","568576"
"13","Males","290996","289323","295636","295477","296917","288104","284599","284612","287533","288632","291614","291474","298347","292610","289277","291179","293251","291565"
"13","Females","274955","275036","280467","279174","281367","272356","268422","267326","270100","271318","273119","274647","279321","275346","273019","274469","276933","273470"
"13","Total","565951","564359","576103","574651","578284","560460","553021","551938","557633","559950","564733","566121","577668","567956","562296","565648","570184","565035"
"14","Males","279971","292236","290590","297175","297319","298835","291052","287739","287118","289631","290404","292462","292206","298910","292798","289177","291323","293836"
"14","Females","264790","276122","276020","281817","280850","283180","274967","270945","269237","271761","272846","274026","275148","279597","275279","272829","274611","277332"
"14","Total","544761","568358","566610","578992","578169","582015","566019","558684","556355","561392","563250","566488","567354","578507","568077","562006","565934","571168"
"15","Males","286758","281176","293625","292249","299218","298832","301582","294126","290499","289271","291412","291460","293083","292906","299427","292769","289397","292016"
"15","Females","272254","265849","277257","277460","283513","282180","285630","277490","273040","270967","273193","273751","274494","275346","279630","275138","272785","274845"
"15","Total","559012","547025","570882","569709","582731","581012","587212","571616","563539","560238","564605","565211","567577","568252","579057","567907","562182","566861"
"16","Males","295986","287317","282748","295661","294591","300870","301159","304613","296991","293035","291036","292705","292208","293706","293672","299939","293398","290476"
"16","Females","282370","272666","267161","278906","279275","284947","284263","288086","279655","274888","272355","274124","274255","274741","275410","279574","275243","273141"
"16","Total","578356","559983","549909","574567","573866","585817","585422","592699","576646","567923","563391","566829","566463","568447","569082","579513","568641","563617"
"17","Males","300400","296722","288237","285199","298336","296764","303591","304083","307701","299729","295328","292756","293718","293354","294786","295044","302253","295127"
"17","Females","285701","282803","273276","269013","281105","280948","287081","286492","290241","281501","276474","273509","274593","274592","274979","275376","279736","275663"
"17","Total","586101","579525","561513","554212","579441","577712","590672","590575","597942","581230","571802","566265","568311","567946","569765","570420","581989","570790"
"18","Males","308834","301442","298093","290868","288892","301680","300965","307832","308168","311417","302650","297615","294502","295461","295551","299947","302995","306068"
"18","Females","292943","286613","283976","275284","271940","283555","283930","290183","288974","292707","283674","278194","274399","275267","275171","275422","276335","280805"
"18","Total","601777","588055","582069","566152","560832","585235","584895","598015","597142","604124","586324","575809","568901","570728","570722","575369","579330","586873"
"19","Males","320091","308961","303438","299618","292517","291544","306687","305747","311855","311455","314313","304931","299027","296196","298107","301274","310352","307554"
"19","Females","306107","293657","288369","285877","277242","274802","288143","288569","294029","292408","295815","286467","280140","275871","276507","276264","276933","277981"
"19","Total","626198","602618","591807","585495","569759","566346","594830","594316","605884","603863","610128","591398","579167","572067","574614","577538","587285","585535"
"20","Males","323918","319517","311416","305238","299972","293109","296922","311275","309326","314447","313724","316728","306062","300146","297986","302504","307475","313559"
"20","Females","311733","306653","295905","290718","287896","279226","281136","294037","293154","298129","295950","299047","288638","281729","277203","277669","277991","278559"
"20","Total","635651","626170","607321","595956","587868","572335","578058","605312","602480","612576","609674","615775","594700","581875","575189","580173","585466","592118"
"21","Males","331241","323067","322643","313582","305731","300411","298392","302270","314703","312378","316870","316248","318057","306613","301681","302060","307927","310367"
"21","Females","319016","312238","309940","298673","293343","290424","285748","288167","299503","298164","301848","299672","301664","290228","282973","278394","279695","279760"
"21","Total","650257","635305","632583","612255","599074","590835","584140","590437","614206","610542","618718","615920","619721","596841","584654","580454","587622","590127"
"22","Males","341392","330570","326997","325576","314109","306548","306272","303779","306044","318409","315265","319945","317846","319072","307779","304489","306012","310066"
"22","Females","330636","320051","316389","313648","301605","296571","298399","292740","294223","305411","302850","306046","302634","303644","291652","284180","280254","281529"
"22","Total","672028","650621","643386","639224","615714","603119","604671","596519","600267","623820","618115","625991","620480","622716","599431","588669","586266","591595"
"23","Males","359526","341334","336136","330791","326336","315034","312976","312198","307650","310614","321878","318710","322142","318700","320541","310158","307961","308282"
"23","Females","348868","332575","325371","320757","316881","305090","305284","305944","298617","300985","310649","307613","309559","304910","305212","293110","286044","282222"
"23","Total","708394","673909","661507","651548","643217","620124","618260","618142","606267","611599","632527","626323","631701","623610","625753","603268","594005","590504"
"24","Males","372477","360179","348128","340859","331410","327016","321290","319389","316142","311672","314270","325955","321559","323485","320083","323099","312942","310034"
"24","Females","364365","351576","339312","330586","324000","320268","313449","313318","312002","304822","306373","315750","311394","311741","306323","306521","294761","287929"
"24","Total","736842","711755","687440","671445","655410","647284","634739","632707","628144","616494","620643","641705","632953","635226","626406","629620","607703","597963"
"25","Males","393202","373898","368230","354414","341988","332003","333347","327373","323523","320881","315208","318445","328699","322677","325190","321959","325985","314552"
