"Age","Sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"72","Total","551297","597073","570967","560459","570283","577468","587968","568916","596491","638137","650682","654284","588597","579300","576453","566025","544914","700442"
"73","Males","232157","234806","254691","245250","241826","248837","253261","259341","251240","266317","285869","292337","294134","264916","261148","260372","257271","248503"
"73","Females","304100","304704","329365","313627","306840","310132","313658","318016","306987","320479","341772","346553","348255","313292","307140","305626","298366","286936"
"73","Total","536257","539510","584056","558877","548666","558969","566919","577357","558227","586796","627641","638890","642389","578208","568288","565998","555637","535439"
"74","Males","221866","224282","226546","246467","237340","234543","241432","246093","252049","244233","259553","278178","284585","286601","257933","254420","253537","250729"
"74","Females","297974","299405","299420","324117","308467","302067","305605","309203","313406","302571","316296","336737","341565","343459","308429","302547","301054","294077"
"74","Total","519840","523687","525966","570584","545807","536610","547037","555296","565455","546804","575849","614915","626150","630060","566362","556967","554591","544806"
"75","Males","206836","214050","215526","218297","237669","229293","226560","233671","238282","244366","237140","251820","270055","276728","278103","250642","247035","246473"
"75","Females","289731","292910","293746","294109","317998","302897","296773","300445","304193","308260","297983","311125","331186","336287","337725","303385","297431","296099"
"75","Total","496567","506960","509272","512406","555667","532190","523333","534116","542475","552626","535123","562945","601241","613015","615828","554027","544466","542572"
"76","Males","195484","198355","205374","206827","209551","228663","220503","218239","225328","230152","236452","229025","243711","261569","267718","269390","242491","239355"
"76","Females","283492","283855","286665","287957","288040","311500","296747","291121","294627","298435","302676","292442","305376","325315","329979","331814","297729","292150"
"76","Total","478976","482210","492039","494784","497591","540163","517250","509360","519955","528587","539128","521467","549087","586884","597697","601204","540220","531505"
"77","Males","182007","186635","189198","196987","197589","200616","219222","211311","209318","216719","221687","227563","220598","235069","251863","258690","259761","234110"
"77","Females","272342","276515","276807","280532","281336","281460","304305","289745","284433","288418","292181","296314","286405","299262","318372","323180","324864","291653"
"77","Total","454349","463150","466005","477519","478925","482076","523527","501056","493751","505137","513868","523877","507003","534331","570235","581870","584625","525763"
"78","Males","170675","173240","176881","180024","187874","188203","191462","209334","201448","200162","207810","212174","218284","212053","225536","242331","248606","250102"
"78","Females","266140","265108","268535","269595","273248","274293","274199","296385","282067","277061","281554","285070","289329","279834","291763","311084","315430","317534"
"78","Total","436815","438348","445416","449619","461122","462496","465661","505719","483515","477223","489364","497244","507613","491887","517299","553415","564036","567636"
"79","Males","155308","159921","163588","167624","170586","178794","178378","181457","198693","191492","190524","197850","202297","208514","202151","215848","231777","238254"
"79","Females","255925","258060","256538","260379","261379","265384","266285","266101","287443","273713","269405","273683","277333","281748","271832","284208","302592","307068"
"79","Total","411233","417981","420126","428003","431965","444178","444663","447558","486136","465205","459929","471533","479630","490262","473983","500056","534369","545322"
"80","Males","140864","144806","148236","153267","157199","160877","168826","167825","171202","187170","181207","180034","187304","192113","197720","192451","205214","220747"
"80","Females","243600","247392","248691","247719","251114","252818","256626","257247","257051","277831","264941","260768","265009","268941","272564","263653","275421","293682"
"80","Total","384464","392198","396927","400986","408313","413695","425452","425072","428253","465001","446148","440802","452313","461054","470284","456104","480635","514429"
"81","Males","130286","129717","133013","136382","142361","147084","150518","157723","156783","160301","174754","170235","169272","176607","180907","186918","181546","194208"
"81","Females","229180","234367","237164","239120","237869","241154","242848","246769","247272","247053","267765","255072","251571","255752","259008","263179","254323","265955"
"81","Total","359466","364084","370177","375502","380230","388238","393366","404492","404055","407354","442519","425307","420843","432359","439915","450097","435869","460163"
"82","Males","78010","116995","118645","122668","124189","129904","136173","139637","146611","144963","149547","162554","158781","158764","164759","169654","174921","170547"
"82","Females","140926","219408","223016","227127","228040","227369","230169","231758","235851","236524","236652","256292","244531","241422","244593","248719","252162","244166"
"82","Total","218936","336403","341661","349795","352229","357273","366342","371395","382462","381487","386199","418846","403312","400186","409352","418373","427083","414713"
"83","Males","54136","70850","103118","108680","111451","113418","117044","122388","125872","132849","133558","137790","150477","147406","146783","153241","157393","163189"
"83","Females","101434","133133","207775","211874","215469","215783","215473","217665","219844","224073","225044","225089","244227","233353","229533","233268","236817","240485"
"83","Total","155570","203983","310893","320554","326920","329201","332517","340053","345716","356922","358602","362879","394704","380759","376316","386509","394210","403674"
"84","Males","51311","48660","63598","92784","98080","100431","102624","105589","110219","113902","117944","121692","126266","138188","134914","135171","140744","145398"
"84","Females","98414","94892","124334","194478","198579","202869","202735","202168","204448","206958","211647","212333","212887","231370","219734","217424","220396","224338"
"84","Total","149725","143552","187932","287262","296659","303300","305359","307757","314667","320860","329591","334025","339153","369558","354648","352595","361140","369736"
"85","Males","57260","45434","43065","56943","82922","88176","90132","92900","95379","99666","102648","106086","110172","114599","124952","122931","122794","128393"
"85","Females","113611","91165","87596","116046","179652","184893","189124","188729","188080","190600","193449","197679","199094","200100","216264","206292","203753","206790"
"85","Total","170871","136599","130661","172989","262574","273069","279256","281629","283459","290266","296097","303765","309266","314699","341216","329223","326547","335183"
"86","Males","63204","50189","39566","37860","50186","73670","78360","79806","83358","85790","89057","91117","94859","98780","102058","112240","110032","110640"
"86","Females","131070","104160","83029","80679","106521","164603","169886","174564","173747","173739","176259","178928","183266","185248","185166","201195","191007","189589"
"86","Total","194274","154349","122595","118539","156707","238273","248246","254370","257105","259529","265316","270045","278125","284028","287224","313435","301039","300229"
"87","Males","55684","54627","42904","34425","32713","43676","64516","68713","70011","74388","75568","77842","80117","84022","86724","90570","99045","97788"
"87","Females","119013","118198","93491","75875","73163","97199","148854","153863","158391","158557","158729","160835","164164","168470","169076","170537","184256","175587"
"87","Total","174697","172825","136395","110300","105876","140875","213370","222576","228402","232945","234297","238677","244281","252492","255800","261107","283301","273375"
"88","Males","48619","47420","46042","36736","29349","27997","37613","55639","59444","60837","64787","64975","67163","69610","72431","75497","78408","86747"
"88","Females","106928","105238","103055","84009","67976","65858","87179","132046","136290","140742","142577","142792","145744","149138","151869","153693","154077","167490"
"88","Total","155547","152658","149097","120745","97325","93855","124792","187685","195734","201579","207364","207767","212907","218748","224300","229190","232485","254237"
"89","Males","39876","40424","39049","38602","30671","24918","23577","31743","47648","50638","51941","54651","55318","57239","58874","62055","64174","67202"
"89","Females","93168","91227","88777","90145","73887","60276","58362","76933","117639","121334","122092","126324","127451","130480","131864","135815","136402","137574"
"89","Total","133044","131651","127826","128747","104558","85194","81939","108676","165287","171972","174033","180975","182769","187719","190738","197870","200576","204776"
"90","Males","30018","32581","32661","32179","31493","25460","20626","19486","26278","40285","42398","43102","45541","46367","47285","49465","51737","53941"
"90","Females","75102","79856","77057","77023","77438","64430","52648","50723","66724","102945","105576","106197","110823","112174","113300","116076","118638","119934"
"90","Total","105120","112437","109718","109202","108931","89890","73274","70209","93002","143230","147974","149299","156364","158541","160585","165541","170375","173875"
"91","Males","23792","23915","25684","26330","25952","25690","20518","16651","15826","21452","33288","34376","35120","37409","37499","38744","40143","42805"
"91","Females","62399","63138","66372","65662","65223","66167","55188","44873","43240","57204","88526","90055","91708","95805","95411","98132","99427","102465"
"91","Total","86191","87053","92056","91992","91175","91857","75706","61524","59066","78656","121814","124431","126828","133214","132910","136876","139570","145270"
"92","Males","16128","18639","18343","20232","20568","20481","20285","16225","13105","12581","17333","26385","27352","28203","29601","30050","30650","32334"
"92","Females","46385","51320","51390","55571","54320","55024","55527","46367","37600","36323","48310","73811","76257","77591","79857","80943","82326","84147"
"92","Total","62513","69959","69733","75803","74888","75505","75812","62592","50705","48904","65643","100196","103609","105794","109458","110993","112976","116481"
"93","Males","11500","12293","14038","14184","15515","15945","15939","15640","12546","10234","9992","13408","20601","21417","21657","23238","23208","24059"
"93","Females","35736","37424","40661","42065","45028","44855","45437","45585","37960","31168","30023","39462","60836","63285","63309","66322","66497","68264"
"93","Total","47236","49717","54699","56249","60543","60800","61376","61225","50506","41402","40015","52870","81437","84702","84966","89560","89705","92323"
"94","Males","7385","8472","8989","10680","10572","11716","12071","11878","11813","9555","7914","7537","10166","15765","16099","16590","17466","17734"
"94","Females","24856","28133","28824","32529","33072","36080","36006","36675","37162","30787","25347","23847","31669","49376","50295","51497","53178","53762"
"94","Total","32241","36605","37813","43209","43644","47796","48077","48553","48975","40342","33261","31384","41835","65141","66394","68087","70644","71496"
"95","Males","5180","5312","5973","6613","7635","7690","8642","8808","8798","8855","7250","5820","5485","7552","11326","11864","12074","13009"
"95","Females","18183","18999","20981","22377","24872","25859","28062","28132","29293","29881","24478","19690","18744","25137","38015","39690","40152","41874"
"95","Total","23363","24311","26954","28990","32507","33549","36704","36940","38091","38736","31728","25510","24229","32689","49341","51554","52226","54883"
"96","Males","3470","3718","3605","4264","4583","5490","5502","6057","6281","6392","6605","5138","4227","3998","5302","8179","8400","8761"
"96","Females","12930","13536","13889","15791","16539","18856","19552","21233","21805","23388","23467","18384","15148","14515","18968","29445","30307","31075"
"96","Total","16400","17254","17494","20055","21122","24346","25054","27290","28086","29780","30072","23522","19375","18513","24270","37624","38707","39836"
"97","Males","2107","2386","2461","2483","2831","3218","3779","3764","4264","4411","4745","4490","3562","2994","2721","3704","5626","5941"
"97","Females","8874","9411","9519","10275","11240","12138","13780","14415","15939","16894","18051","17149","13596","11489","10525","14256","21681","22901"
"97","Total","10981","11797","11980","12758","14071","15356","17559","18179","20203","21305","22796","21639","17158","14483","13246","17960","27307","28842"
"98","Males","1252","1406","1531","1668","1647","1869","2136","2499","2539","2955","3132","3169","2994","2435","1992","1882","2445","3829"
"98","Females","5586","6237","6370","6837","7078","8019","8735","9850","10438","11785","12634","12956","12368","9951","8150","7725","10250","15821"
"98","Total","6838","7643","7901","8505","8725","9888","10871","12349","12977","14740","15766","16125","15362","12386","10142","9607","12695","19650"
"99","Males","861","867","891","1005","1062","1048","1196","1413","1616","1678","2066","2058","2043","1998","1534","1314","1264","1616"
"99","Females","4005","3835","4080","4406","4620","4897","5447","6056","6931","7529","8725","8647","9110","8730","6724","5831","5425","7369"
"99","Total","4866","4702","4971","5411","5682","5945","6643","7469","8547","9207","10791","10705","11153","10728","8258","7145","6689","8985"
"100 and over","Males","978","1201","1298","1479","1544","1649","1701","1811","1951","2136","2543","2752","2914","3026","2913","2671","2334","2175"
"100 and over","Females","5143","5892","5902","6616","6994","7473","7874","8347","9346","10970","12892","13453","14338","15394","14785","13887","12650","11957"
"100 and over","Total","6121","7093","7200","8095","8538","9122","9575","10158","11297","13106","15435","16205","17252","18420","17698","16558","14984","14132"
"Total","Males","27588289","27687048","27903719","28128308","28250293","28354758","28584441","28781255","28903027","29014829","29090347","29193899","29241521","29228315","29193044","29178654","29156469","29131195"
"Total","Females","29404981","29499330","29708271","29916060","30038703","30155967","30417328","30639337","30787289","30933668","31014838","31083410","31104396","31067182","30970668","30888080","30781300","30685478"
"Total","Total","56993270","57186378","57611990","58044368","58288996","58510725","59001769","59420592","59690316","59948497","60105185","60277309","60345917","60295497","60163712","60066734","59937769","59816673"
