"Age","Sex","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"14","Females","356648","341217","319492","307799","302962","297975","287349","281507","279324","270600"
"14","Total","727455","696836","653115","629676","618986","609077","589935","576986","571831","555592"
"15","Males","392536","370835","355802","334114","322758","317236","313079","304113","297087","294336"
"15","Females","377406","356837","341503","320132","308692","304241","299621","288730","282896","280947"
"15","Total","769942","727672","697305","654246","631450","621477","612700","592843","579983","575283"
"16","Males","416912","392494","370836","355944","334759","324159","318655","314848","305639","298797"
"16","Females","401499","377490","357093","341864","320876","310002","305701","301214","290085","284365"
"16","Total","818411","769984","727929","697808","655635","634161","624356","616062","595724","583162"
"17","Males","438772","416679","392342","370776","356135","335784","325578","319965","316652","307354"
"17","Females","423229","401564","377773","357397","342269","322034","311582","307152","302794","291517"
"17","Total","862001","818243","770115","728173","698404","657818","637160","627117","619446","598871"
"18","Males","441511","438217","416420","392178","370711","356566","336904","326986","321417","318587"
"18","Females","426877","422874","401880","378092","357719","342919","323400","313136","308668","304528"
"18","Total","868388","861091","818300","770270","728430","699485","660304","640122","630085","623115"
"19","Males","450360","440749","437756","416166","391945","370810","356999","337796","328420","322854"
"19","Females","433544","426392","422969","402305","378522","358365","343717","325004","314857","310294"
"19","Total","883904","867141","860725","818471","770467","729175","700716","662800","643277","633148"
"20","Males","460945","449410","440231","437221","415881","392035","370999","357355","338934","329992"
"20","Females","444275","433058","426430","423221","402863","379331","359207","344738","326774","317038"
"20","Total","905220","882468","866661","860442","818744","771366","730206","702093","665708","647030"
"21","Males","454934","459623","448771","439609","436640","415933","392106","371060","357946","340339"
"21","Females","439331","443746","433115","426644","423508","403916","380365","360280","345867","328815"
"21","Total","894265","903369","881886","866253","860148","819849","772471","731340","703813","669154"
"22","Males","468311","453827","458786","448107","438898","436312","416019","392081","371410","358858"
"22","Females","453934","439014","443746","433374","426812","424223","405204","381539","361451","347415"
"22","Total","922245","892841","902532","881481","865710","860535","821223","773620","732861","706273"
"23","Males","463382","467361","453117","457906","447249","438513","435955","416003","392272","371939"
"23","Females","449275","453641","439148","443938","433623","427393","425103","406568","382855","362946"
"23","Total","912657","921002","892265","901844","880872","865906","861058","822571","775127","734885"
"24","Males","467341","462371","466725","452346","456854","446743","437985","435451","416193","392702"
"24","Females","456533","448902","453767","439429","444110","434357","428185","426002","407944","384465"
"24","Total","923874","911273","920492","891775","900964","881100","866170","861453","824137","777167"
"25","Males","481109","466366","461668","466060","451462","455983","445986","437435","435260","416753"
"25","Females","471264","456010","448842","454049","439753","444623","435185","428928","426958","409659"
"25","Total","952373","922376","910510","920109","891215","900606","881171","866363","862218","826412"
"26","Males","481513","480208","465626","460920","465404","451017","455044","445402","437053","435280"
"26","Females","472924","470846","455799","448903","454374","440422","445228","435992","429710","428247"
"26","Total","954437","951054","921425","909823","919778","891439","900272","881394","866763","863527"
"27","Males","490713","480652","479520","464756","460144","465077","450539","454102","444865","437042"
"27","Females","481519","472459","470635","455573","448962","455074","441195","445819","436844","430741"
"27","Total","972232","953111","950155","920329","909106","920151","891734","899921","881709","867783"
"28","Males","458353","489669","479975","478705","463866","459638","464598","449863","453317","444591"
"28","Females","454135","480844","472289","470436","455365","449236","455727","441977","446371","437816"
"28","Total","912488","970513","952264","949141","919231","908874","920325","891840","899688","882407"
"29","Males","444260","457623","488762","479053","477901","463161","458993","464073","449237","452668"
"29","Females","441127","453816","480490","472101","470246","455258","449522","456485","442753","447054"
"29","Total","885387","911439","969252","951154","948147","918419","908515","920558","891990","899722"
"30","Males","439555","443494","456955","487719","478105","477173","462364","458239","463601","448919"
"30","Females","435390","440833","453688","480094","471927","470184","455179","449907","457093","443519"
"30","Total","874945","884327","910643","967813","950032","947357","917543","908146","920694","892438"
