"Età","Totale maschi","Totale femmine","Totale"
"0","196699","185369","382068"
"1","204524","191748","396272"
"2","208869","197972","406841"
"3","213468","200474","413942"
"4","221623","209801","431424"
"5","231804","218382","450186"
"6","242155","227690","469845"
"7","248700","235231","483931"
"8","255226","240537","495763"
"9","262835","247508","510343"
"10","266552","251141","517693"
"11","277984","261836","539820"
"12","282675","266034","548709"
"13","291310","273113","564423"
"14","295744","277833","573577"
"15","299133","281765","580898"
"16","299671","280570","580241"
"17","301543","281005","582548"
"18","301871","279787","581658"
"19","307694","284603","592297"
"20","303842","280042","583884"
"21","302226","279068","581294"
"22","307538","282800","590338"
"23","316866","288109","604975"
"24","315888","285098","600986"
"25","320521","286042","606563"
"26","317255","287582","604837"
"27","317117","289065","606182"
"28","315048","289215","604263"
"29","316119","293972","610091"
"30","319683","300936","620619"
"31","332290","314113","646403"
"32","329562","314273","643835"
"33","336137","320276","656413"
"34","332458","321850","654308"
"35","340692","329565","670257"
"36","332841","324413","657254"
"37","333232","326534","659766"
"38","341933","337251","679184"
"39","348029","343706","691735"
"40","353883","349707","703590"
"41","364791","362404","727195"
"42","365444","365388","730832"
"43","375776","372767","748543"
"44","384670","386389","771059"
"45","404810","405993","810803"
"46","416018","420251","836269"
"47","433349","437975","871324"
"48","453002","458766","911768"
"49","470308","476868","947176"
"50","466024","475242","941266"
"51","470338","478610","948948"
"52","472356","484747","957103"
"53","467460","479903","947363"
"54","478481","492644","971125"
"55","473379","488819","962198"
"56","472997","491521","964518"
"57","477698","493880","971578"
"58","474748","492482","967230"
"59","479002","498799","977801"
"60","445192","469354","914546"
"61","427049","453347","880396"
"62","415551","443912","859463"
"63","400518","428951","829469"
"64","387830","416762","804592"
"65","366728","398217","764945"
"66","360316","393051","753367"
"67","350208","383744","733952"
"68","340410","375591","716001"
"69","331229","368527","699756"
"70","313910","348900","662810"
"71","303733","342862","646595"
"72","298683","339510","638193"
"73","304903","349469","654372"
"74","301220","348202","649422"
"75","306983","360350","667333"
"76","293613","347686","641299"
"77","284714","343776","628490"
"78","211634","261421","473055"
"79","210036","264577","474613"
"80","201818","262456","464274"
"81","191637","254644","446281"
"82","182970","250069","433039"
"83","189144","265536","454680"
"84","173840","250256","424096"
"85","153933","230936","384869"
"86","129059","201068","330127"
"87","106889","175994","282883"
"88","95761","164808","260569"
"89","79012","144493","223505"
"90","63689","123748","187437"
"91","49732","105245","154977"
"92","39902","89326","129228"
"93","31496","77537","109033"
"94","21452","57557","79009"
"95","14859","43765","58624"
"96","10307","33016","43323"
"97","6639","23768","30407"
"98","4031","16691","20722"
"99","2676","11414","14090"
"100 e oltre","3844","18708","22552"
"Totale","28851041","30138708","58989749"
