"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2020","Provincia Autonoma di Trento","065","051","021","136",""
"2020","Veneto","061","048","019","128",""
"2020","Friuli-Venezia Giulia","062","046","018","126",""
"2020","Emilia-Romagna","061","046","019","126",""
"2020","Toscana","059","043","014","116",""
"2020","Umbria","058","044","014","116",""
"2020","Marche","058","045","016","119",""
"2020","Lazio","061","043","014","118",""
"2020","Abruzzo","057","045","015","117",""
"2020","Molise","051","041","014","106",""
"2020","Campania","058","051","021","130",""
"2020","Puglia","056","046","016","118",""
"2020","Basilicata","057","042","014","114",""
"2020","Calabria","058","048","020","126",""
"2020","Sicilia","060","051","022","133",""
"2020","Sardegna","050","035","011","097",""
"2020","Italia","060","047","018","124",""
"2021","Piemonte","061","046","018","124",""
"2021","Valle d'Aosta/Vallée d'Aoste","057","047","017","121",""
"2021","Liguria","059","045","017","121",""
"2021","Lombardia","061","047","019","127",""
"2021","Trentino-Alto Adige/Südtirol","070","060","027","157",""
"2021","Provincia Autonoma di Bolzano","074","065","032","172",""
"2021","Provincia Autonoma di Trento","065","055","022","142",""
"2021","Veneto","061","049","019","130",""
"2021","Friuli-Venezia Giulia","063","045","017","125",""
"2021","Emilia-Romagna","061","047","020","127",""
"2021","Toscana","060","044","015","120",""
"2021","Umbria","060","043","015","118",""
"2021","Marche","058","046","016","120",""
"2021","Lazio","059","045","014","118",""
"2021","Abruzzo","058","046","016","120",""
"2021","Molise","055","039","014","108",""
"2021","Campania","055","052","021","128",""
"2021","Puglia","056","048","016","120",""
"2021","Basilicata","051","045","015","111",""
"2021","Calabria","054","048","020","123",""
"2021","Sicilia","059","053","023","135",""
"2021","Sardegna","051","037","012","099",""
"2021","Italia","059","048","018","125",""
