"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"1997","Friuli-Venezia Giulia","057","036","008","101",""
"1997","Emilia-Romagna","060","035","008","104",""
"1997","Toscana","062","035","008","105",""
"1997","Umbria","060","041","010","111",""
"1997","Marche","060","042","012","114",""
"1997","Lazio","058","045","011","114",""
"1997","Abruzzo","059","045","015","119",""
"1997","Molise","057","045","018","120",""
"1997","Campania","068","056","029","154",""
"1997","Puglia","063","052","023","137",""
"1997","Basilicata","059","050","021","130",""
"1997","Calabria","059","049","026","135",""
"1997","Sicilia","067","055","027","149",""
"1997","Sardegna","050","037","016","103",""
"1997","Italia","062","045","016","123",""
"1998","Piemonte","062","039","010","111",""
"1998","Valle d'Aosta/Vallée d'Aoste","065","042","011","117",""
"1998","Liguria","059","033","007","099",""
"1998","Lombardia","062","041","011","114",""
"1998","Trentino-Alto Adige/Südtirol","070","050","020","141",""
"1998","Veneto","062","042","011","115",""
"1998","Friuli-Venezia Giulia","059","036","008","103",""
"1998","Emilia-Romagna","060","036","009","105",""
"1998","Toscana","062","035","007","105",""
"1998","Umbria","061","040","010","111",""
"1998","Marche","062","043","011","115",""
"1998","Lazio","059","042","011","112",""
"1998","Abruzzo","057","046","014","117",""
"1998","Molise","055","047","018","120",""
"1998","Campania","069","054","027","150",""
"1998","Puglia","062","051","021","134",""
"1998","Basilicata","056","047","021","123",""
"1998","Calabria","057","049","026","132",""
"1998","Sicilia","065","054","025","144",""
"1998","Sardegna","050","035","015","099",""
"1998","Italia","062","044","015","121",""
"1999","Piemonte","064","038","010","112",""
"1999","Valle d'Aosta/Vallée d'Aoste","067","044","009","119",""
"1999","Liguria","059","034","006","099",""
"1999","Lombardia","063","042","011","116",""
"1999","Trentino-Alto Adige/Südtirol","072","054","020","145",""
"1999","Veneto","063","042","011","117",""
"1999","Friuli-Venezia Giulia","059","037","008","104",""
"1999","Emilia-Romagna","065","036","009","110",""
"1999","Toscana","063","036","008","106",""
"1999","Umbria","064","040","010","114",""
"1999","Marche","062","043","010","115",""
"1999","Lazio","066","047","011","123",""
"1999","Abruzzo","056","045","013","114",""
"1999","Molise","056","046","016","118",""
"1999","Campania","069","056","025","149",""
"1999","Puglia","063","052","018","133",""
"1999","Basilicata","055","048","020","123",""
"1999","Calabria","055","048","022","125",""
"1999","Sicilia","068","052","023","144",""
"1999","Sardegna","052","037","014","103",""
"1999","Italia","064","045","014","123",""
"2000","Piemonte","069","039","009","117",""
"2000","Valle d'Aosta/Vallée d'Aoste","074","046","008","128",""
